City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
5,Rikitea,PF,78.93,clear sky,-23.1203,-134.9692,Pension Maro'i
11,The Valley,AI,78.8,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
16,Kahului,US,75.2,moderate rain,20.8947,-156.47,Maui Seaside Hotel
19,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
22,Acarau,BR,80.2,overcast clouds,-2.8856,-40.12,castelo pizzaria
25,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
26,Ladario,BR,75.87,heavy intensity rain,-19.0047,-57.6017,Hotel Fazenda 4 cantos
27,Porangatu,BR,72.09,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
28,Sola,VU,89.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
30,Mildura,AU,73.4,clear sky,-34.2,142.15,Mercure Hotel Mildura
33,Vaini,TO,87.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
35,Buala,SB,84.61,light rain,-8.145,159.5921,Maringe Lagoon Lodge
43,Faanui,PF,82.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Busselton,AU,81.0,clear sky,-33.65,115.3333,Observatory Guest House
47,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
54,Kuah,MY,82.4,few clouds,6.3265,99.8432,Azio Hotel
56,Noumea,NC,86.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
60,Macabugos,PH,79.32,overcast clouds,13.2362,123.3053,Seletaria's Resort
63,Butaritari,KI,80.69,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
65,Monrovia,LR,73.4,mist,6.3005,-10.7969,Sunset Inn
66,Xai-Xai,MZ,76.57,light rain,-25.0519,33.6442,Complexo da Familia
67,Cabo San Lucas,MX,73.4,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Vanimo,PG,83.28,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
80,San Rafael,AR,75.42,clear sky,-34.6177,-68.3301,Hotel San Rafael
81,Bosaso,SO,72.59,clear sky,11.2842,49.1816,Red Sea Hotel
82,Comodoro Rivadavia,AR,78.8,clear sky,-45.8667,-67.5,Austral Hotel
83,Carnarvon,AU,86.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
84,Rosarito,MX,75.2,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
85,Kieta,PG,84.97,light rain,-6.2167,155.6333,
86,Puerto Ayora,EC,75.99,few clouds,-0.7393,-90.3518,Castillo Galapagos
98,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
103,Remanso,BR,78.13,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
106,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
111,Booue,GA,72.64,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
116,Cidreira,BR,73.11,overcast clouds,-30.1811,-50.2056,Hotel Castelo
117,Madimba,TZ,80.6,scattered clouds,-10.4,40.3333,
118,Fare,PF,82.09,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
121,San Matias,BO,75.18,moderate rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
124,Robertsport,LR,79.52,clear sky,6.7533,-11.3686,Kwepunha Retreat
126,Atuona,PF,78.67,broken clouds,-9.8,-139.0333,Villa Enata
127,Ransang,PH,78.46,heavy intensity rain,8.9603,117.5828,
132,Biak,ID,78.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
135,Bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
136,Natalio,PY,73.54,overcast clouds,-26.7167,-55.0833,Casa familia Sánchez
137,Sao Filipe,CV,72.57,clear sky,14.8961,-24.4956,Tortuga B&B
138,Bambanglipuro,ID,81.19,overcast clouds,-7.95,110.2833,Puri Brata
140,Namibe,AO,72.25,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
141,Kalianget,ID,79.12,light rain,-7.05,113.9333,Pesanggrahan Garam
142,Charters Towers,AU,81.1,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
143,Vila Velha,BR,77.0,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
147,Vaitape,PF,82.09,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
148,Pauini,BR,75.36,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
151,Obregon,NI,78.8,scattered clouds,11.9566,-85.9636,Hostal Casa Aryen
152,Mandera,KE,77.11,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
153,Bengkulu,ID,77.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,San Nicolas,PH,78.8,few clouds,18.1725,120.5953,NORTHVIEW Hotel
155,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
157,Kununurra,AU,89.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
160,Daloa,CI,74.41,scattered clouds,6.8774,-6.4502,Imans Hotel Daloa
161,Gamba,GA,77.4,overcast clouds,-2.65,10.0,
164,Hithadhoo,MV,80.62,broken clouds,-0.6,73.0833,Scoop Guest House
165,Caravelas,BR,74.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
167,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Mbandaka,CD,71.35,scattered clouds,0.0487,18.2603,Guest House Epervier
172,Acapulco,MX,80.6,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
176,Contamana,PE,79.27,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
177,Poum,NC,83.17,light rain,-20.2333,164.0167,Gîte kajeon
192,Pochutla,MX,77.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
194,Sao Joao Da Barra,BR,76.17,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
195,Geraldton,AU,89.6,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
200,Laje,BR,72.91,scattered clouds,-10.1833,-40.9667,Pousada Centro
204,Alofi,NU,87.8,broken clouds,-19.0595,-169.9187,Taloa Heights
206,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
209,Mareeba,AU,78.8,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
211,Ngunguru,NZ,77.0,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
219,Cabedelo,BR,77.0,clear sky,-6.9811,-34.8339,Hotel Pigalle
222,Kaeo,NZ,77.0,clear sky,-35.1,173.7833,Bushido Lodge
226,Candido De Abreu,BR,70.21,overcast clouds,-24.5669,-51.3333,Hotel Recanto
229,Tebingtinggi,ID,75.2,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
236,Padang,ID,77.0,moderate rain,-0.9492,100.3543,Mercure Padang
238,Lima,PE,71.6,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
239,Alice Springs,AU,80.6,clear sky,-23.7,133.8833,Desert Palms Alice Springs
245,Pizarro,CO,77.2,clear sky,4.9533,-77.366,Hotel Limonar
249,Mahibadhoo,MV,81.07,clear sky,3.7833,72.9667,Omadhoo Inn
251,Christchurch,NZ,73.0,broken clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
254,Kuching,MY,80.6,few clouds,1.55,110.3333,Hilton Kuching
255,Kavaratti,IN,81.72,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
261,Nhulunbuy,AU,78.8,heavy intensity rain,-12.2333,136.7667,East Arnhem Real Estate
268,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
274,Ulladulla,AU,79.0,clear sky,-35.35,150.4667,Sandpiper Motel
276,Corowa,AU,78.01,clear sky,-36.0333,146.3833,Statesman Motor Inn
282,Trairi,BR,79.39,overcast clouds,-3.2778,-39.2689,janelas do mar
283,Iralaya,HN,77.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
288,Prado,BR,75.87,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
291,Anloga,GH,80.6,few clouds,5.7947,0.8973,Pin Drop Hotel
294,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
295,Carauari,BR,75.47,broken clouds,-4.8828,-66.8958,Hotel Fellip
298,Atambua,ID,79.93,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
300,Canutama,BR,75.22,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
306,Jipijapa,EC,78.8,broken clouds,-1.3333,-80.5833,Los Ceibos Internacional
309,Yaan,NG,75.42,clear sky,7.3833,8.5667,
310,Les Cayes,HT,74.21,overcast clouds,18.2,-73.75,Villa Orphee
313,Pitogo,PH,78.87,overcast clouds,13.7847,122.0881,Ricronald
314,Porto Belo,BR,78.8,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
317,Mitsamiouli,KM,81.28,overcast clouds,-11.3847,43.2844,Foyer ADM
322,Rio Verde De Mato Grosso,BR,71.42,overcast clouds,-18.9181,-54.8442,Hotel Valência
326,Flinders,AU,81.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
328,Gizo,SB,85.69,clear sky,-8.103,156.8419,Imagination Island
329,Tual,ID,83.16,light rain,-5.6667,132.75,Grand Vilia Hotel
331,Coahuayana,MX,73.4,broken clouds,18.7333,-103.6833,Hotel Los Arcos
339,Port-Gentil,GA,80.2,light rain,-0.7193,8.7815,Fengshui Residence
342,Santa Fe,AR,72.0,clear sky,-31.6333,-60.7,Conquistador Hotel
345,Trelew,AR,74.1,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
349,Thinadhoo,MV,81.32,clear sky,0.5333,72.9333,
350,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
353,Harper,LR,78.48,clear sky,4.375,-7.7169,Screensaver
357,Koungou,YT,78.8,clear sky,-12.7336,45.2042,Villa Netibor
358,Yangambi,CD,70.23,broken clouds,0.8102,24.4336,
370,Paragominas,BR,73.06,light rain,-2.9667,-47.4833,.
377,Grand-Lahou,CI,79.18,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
381,Port Shepstone,ZA,72.12,overcast clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
386,Gaoua,BF,70.18,clear sky,10.2992,-3.2508,
390,Guadalajara,MX,71.6,few clouds,20.6667,-103.3333,Hotel Aranzazú
393,Dingle,PH,75.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
395,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
396,Maragogi,BR,76.69,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
398,Sao Felix Do Xingu,BR,72.52,broken clouds,-6.6447,-51.995,Rio Xingu Camping
401,Hualmay,PE,70.23,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
412,Manicore,BR,78.06,overcast clouds,-5.8092,-61.3003,Hotel Durval
414,Alyangula,AU,82.4,light rain,-13.8483,136.4192,Groote Eylandt Lodge
418,Takoradi,GH,79.05,clear sky,4.8845,-1.7554,Raybow International Hotel
419,Bara,NG,70.61,broken clouds,10.3744,10.7288,
422,Salinopolis,BR,79.63,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
426,Port Blair,IN,80.49,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
427,Ratnagiri,IN,78.04,overcast clouds,16.9833,73.3,Hotel Landmark
428,Lorengau,PG,85.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
434,Alta Floresta,BR,75.2,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
441,Salto Del Guaira,PY,71.58,overcast clouds,-24.0625,-54.3069,7 Saltos Resort
442,Caarapo,BR,71.62,heavy intensity rain,-22.6342,-54.8222,Hotel Pousada Quinta do Sul
444,Labuhan,ID,80.89,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
445,Porto Velho,BR,78.8,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
448,Kavieng,PG,85.41,clear sky,-2.5744,150.7967,Nusa Island Retreat
449,Quatre Cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
450,Pangkalanbuun,ID,77.99,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
453,Aripuana,BR,74.75,overcast clouds,-9.1667,-60.6333,
459,Pangai,TO,87.8,few clouds,-19.8,-174.35,Ha'apai Beach Resort
463,Sao Gabriel Da Cachoeira,BR,74.16,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
469,Richards Bay,ZA,70.21,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
471,Morondava,MG,80.89,moderate rain,-20.2833,44.2833,La Case Bambou
476,Campo Do Brito,BR,80.6,scattered clouds,-10.7333,-37.4933,Pousada Ernesto Sobrinho
478,Cayenne,GF,78.8,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
481,Sampit,ID,76.24,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
482,Santa Rosa,PH,81.0,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
483,Aboisso,CI,76.69,clear sky,5.4678,-3.2071,Residence Belle Vue
489,Oistins,BB,78.8,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
495,Posadas,AR,75.2,clear sky,-27.3671,-55.8961,Hotel Posadas
496,Granja,BR,77.16,moderate rain,-3.1203,-40.8261,Pousada Casa Grande
512,Manokwari,ID,83.43,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
517,Corn Island,NI,80.33,broken clouds,12.1694,-83.0418,Big Fish Guest House
518,Jalingo,NG,75.16,overcast clouds,8.8833,11.3667,Debright Motel
521,Muisne,EC,76.5,light rain,0.6,-80.0333,Quinta Samay
522,Jaciara,BR,70.84,overcast clouds,-15.9653,-54.9683,Taba Hotel
523,Sulangan,PH,79.29,overcast clouds,11.1373,123.7228,Maia's Beach Resort
527,Moree,AU,77.0,light rain,-29.4667,149.85,Molika Springs Motel
528,Omboue,GA,76.8,light rain,-1.5746,9.2618,Hotel Olako
532,Malakal,SS,75.94,clear sky,9.5334,31.6605,Nile Palace Hotel
533,Samarai,PG,85.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
534,Gorontalo,ID,79.45,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
538,Yenagoa,NG,76.41,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
539,Peruibe,BR,77.77,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
542,San Policarpo,PH,79.05,light rain,12.1791,125.5072,JM Lodge
544,Alangilanan,PH,82.4,light rain,9.642000000000001,123.1059,Coding Store
547,Kimbe,PG,89.62,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
548,Ampanihy,MG,74.77,overcast clouds,-24.7,44.75,Angora Hotel
550,Macara,EC,75.47,light rain,-4.3833,-79.95,Hostal Macará
554,Rockhampton,AU,86.0,overcast clouds,-23.3833,150.5,Mercure Rockhampton
560,Moron,AR,72.0,clear sky,-34.6534,-58.6198,Hotel Morón
562,Manavalakurichi,IN,75.2,mist,8.1333,77.3,Udaya Boys Hostel
563,Luwuk,ID,81.72,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
568,Puerto Lleras,CO,77.76,scattered clouds,3.0223,-73.4044,
570,Tirumullaivasal,IN,71.87,few clouds,11.2333,79.8333,Hajaali
571,Launceston,AU,70.0,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
573,Srivardhan,IN,74.26,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
577,Sao Geraldo Do Araguaia,BR,74.98,light rain,-6.4006,-48.555,SOLAR DO BARROSO
578,Bubaque,GW,77.34,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
580,Ankazoabo,MG,72.68,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
581,Marawi,PH,77.0,moderate rain,7.9986,124.2928,Derogongan Residence
589,Koumac,NC,84.99,scattered clouds,-20.5667,164.2833,Le Monitel
590,Waingapu,ID,81.25,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
591,Bafata,GW,71.55,overcast clouds,12.1667,-14.75,
592,Hwange,ZW,70.48,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
593,Chanika,TZ,70.18,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
598,Tamugan,PH,75.2,heavy intensity rain,7.2308,125.3764,
603,Morros,BR,76.42,overcast clouds,-9.4467,-46.3003,
605,Tumpat,MY,78.8,few clouds,6.1978,102.171,Baan Tanyong B&B
608,Yulara,AU,82.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
609,Soyo,AO,78.64,overcast clouds,-6.1349,12.3689,Hotel Mpampa
611,Banjar,ID,78.8,scattered clouds,-8.19,114.9675,The Hamsa Resort
612,Tamandare,BR,77.09,clear sky,-8.7597,-35.1047,Pousada 100 Passos
613,Kloulklubed,PW,80.6,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
614,Pringsewu,ID,78.06,light rain,-5.3582,104.9744,Urban Style by Front One
622,Haapiti,PF,86.0,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
625,Muli,MV,81.28,few clouds,2.9167,73.5667,Medhufushi Island Resort
628,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
629,Ballina,AU,82.4,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
639,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
640,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
641,Deniliquin,AU,79.0,clear sky,-35.5333,144.9667,Riviana Motel
642,Inhambane,MZ,77.94,moderate rain,-23.865,35.3833,Oceano
649,Hambantota,LK,71.6,few clouds,6.1241,81.1185,Bungalow 63
651,Hobyo,SO,75.33,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
653,Malandag,PH,75.2,heavy intensity rain,6.3094,125.2428,Inday's Palace
655,Filingue,NE,71.11,overcast clouds,14.3521,3.3168,
656,Mendi,PG,72.54,overcast clouds,-6.1761,143.6513,Kiburu Lodge
657,Bandarbeyla,SO,73.85,clear sky,9.4942,50.8122,JABIR HOTEL
659,Kota Kinabalu,MY,75.2,light rain,5.9749,116.0724,Gaya Centre Hotel
660,Lagunas,PE,76.37,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
666,Caucaia,BR,82.4,moderate rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
668,Itarema,BR,80.19,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
669,Carutapera,BR,78.26,broken clouds,-1.195,-46.02,Lidera
672,Katikati,NZ,73.99,clear sky,-37.55,175.9167,Asure Kaimai View Motel
